65.0 ,   100.0  ,   0
70.0 ,   200.0  ,   1
62.0 ,   300.0  ,   2
77.0 ,   400.0  ,   3
76.0 ,   500.0  ,   4
72.0 ,   600.0  ,   5
68.0 ,   700.0  ,   6
80.0 ,   800.0  ,   7
41.0 ,   900.0  ,   8
67.0 ,   1000.0  ,   9
53.0 ,   1100.0  ,   10
67.0 ,   1200.0  ,   11
67.0 ,   1300.0  ,   12
70.0 ,   1400.0  ,   13
15.0 ,   1500.0  ,   14
46.0 ,   1600.0  ,   15
65.0 ,   1700.0  ,   16
71.0 ,   1800.0  ,   17
73.0 ,   1900.0  ,   18
73.0 ,   2000.0  ,   19
74.0 ,   2100.0  ,   20
74.0 ,   2200.0  ,   21
71.0 ,   2300.0  ,   22
29.0 ,   2400.0  ,   23
4.0 ,   2500.0  ,   24
68.0 ,   2600.0  ,   25
40.0 ,   2700.0  ,   26
33.0 ,   2800.0  ,   27
77.0 ,   2900.0  ,   28
64.0 ,   3000.0  ,   29
72.0 ,   3100.0  ,   30
66.0 ,   3200.0  ,   31
74.0 ,   3300.0  ,   32
76.0 ,   3400.0  ,   33
68.0 ,   3500.0  ,   34
63.0 ,   3600.0  ,   35
72.0 ,   3700.0  ,   36
73.0 ,   3800.0  ,   37
64.0 ,   3900.0  ,   38
79.0 ,   4000.0  ,   39
66.0 ,   4100.0  ,   40
68.0 ,   4200.0  ,   41
68.0 ,   4300.0  ,   42
68.0 ,   4400.0  ,   43
69.0 ,   4500.0  ,   44
67.0 ,   4600.0  ,   45
71.0 ,   4700.0  ,   46
69.0 ,   4800.0  ,   47
76.0 ,   4900.0  ,   48
64.0 ,   5000.0  ,   49
68.0 ,   5100.0  ,   50
73.0 ,   5200.0  ,   51
72.0 ,   5300.0  ,   52
64.0 ,   5400.0  ,   53
76.0 ,   5500.0  ,   54
71.0 ,   5600.0  ,   55
61.0 ,   5700.0  ,   56
66.0 ,   5800.0  ,   57
72.0 ,   5900.0  ,   58
63.0 ,   6000.0  ,   59
61.0 ,   6100.0  ,   60
11.0 ,   6200.0  ,   61
21.0 ,   6300.0  ,   62
60.0 ,   6400.0  ,   63
24.0 ,   6500.0  ,   64
12.0 ,   6600.0  ,   65
36.0 ,   6700.0  ,   66
39.0 ,   6800.0  ,   67
25.0 ,   6900.0  ,   68
39.0 ,   7000.0  ,   69
